family,seed,variant,variant_label,country,contrast_country,topic,exact_pair,margin_switch,target_margin,contrast_margin
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Bangladesh,India,Geography and infrastructure,0.0,0.0,0.814618402277036,-0.814618402277036
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",India,United Kingdom,Geography and infrastructure,0.0,0.0,2.4631474046642845,-2.4631474046642845
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Ireland,United Kingdom,Public life and holidays,0.0,0.0,-2.344739895371731,2.344739895371731
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Tanzania,United Kingdom,Geography and infrastructure,0.0,0.0,0.5526954581624963,-0.5526954581624963
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Pakistan,India,Public life and holidays,0.0,0.0,-3.3158727414458635,3.3158727414458635
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Malaysia,United Kingdom,Economy and business,0.0,0.0,-0.9478631040692784,0.9478631040692784
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Bangladesh,India,Economy and business,0.0,0.0,-1.1811761010703155,1.1811761010703155
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Bangladesh,India,Economy and business,0.0,0.0,1.590905966833021,-1.590905966833021
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Canada,United States,Education,0.0,0.0,-0.5609773479830737,0.5609773479830737
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Nigeria,United Kingdom,Geography and infrastructure,0.0,0.0,0.7181193916876056,-0.7181193916876056
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Bangladesh,India,Geography and infrastructure,0.0,0.0,-2.134086788394397,2.134086788394397
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Bangladesh,India,Geography and infrastructure,0.0,0.0,-1.0248425060904651,1.0248425060904651
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Canada,United States,Sports,0.0,0.0,-0.02627801297667709,0.02627801297667709
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Canada,United States,Media and culture,0.0,0.0,1.8049089792952522,-1.8049089792952522
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Bangladesh,India,Media and culture,0.0,0.0,-0.80032044068611,0.80032044068611
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Bangladesh,India,Geography and infrastructure,0.0,0.0,-0.23650211679010713,0.23650211679010713
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Bangladesh,India,Education,0.0,0.0,-0.6094314407483177,0.6094314407483177
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Pakistan,India,Economy and business,0.0,0.0,2.875,-2.875
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Canada,United States,Sports,0.0,0.0,-1.3784838327173645,1.3784838327173645
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Pakistan,India,Economy and business,0.0,0.0,-0.5518382725102526,0.5518382725102526
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",United Kingdom,United States,Education,0.0,0.0,1.5504027656240345,-1.5504027656240345
