plot,size,train_continent,test_continent,test_meta,test_path,model_a,model_b,n_samples,mean_nll_a,mean_nll_b,mean_ppl_a,mean_ppl_b,delta_nll,delta_nll_ci_low,delta_nll_ci_high,delta_ppl,delta_ppl_ci_low,delta_ppl_ci_high,p_value,status
plot4,500m,america,america,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_without_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,2.348667464042215,2.286688664966024,10.471606631259712,9.842292533411253,0.061978799076191304,0.0588638212290014,0.06541258661271444,0.629314097848459,0.5924592588554038,0.6684156848953255,0.0,ok
plot4,500m,america,america,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,/path/to/metacul/models/america_without_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,2.348614435287346,2.413362228220756,10.471051349721652,11.171459066395858,-0.06474779293340971,-0.06737769480361866,-0.06204422689509607,-0.7004077166742064,-0.7366321419806765,-0.6645088113820707,0.0,ok
plot4,500m,america,asia,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/america_without_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,2.720732474022725,2.6497813661970544,15.191445509908913,14.150944432341833,0.0709511078256706,0.06617235683930305,0.07603167070510801,1.0405010775670807,0.9690171392348903,1.1190762572474156,0.0,ok
plot4,500m,america,asia,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,/path/to/metacul/models/america_without_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,2.724824098054445,2.7898860861041754,15.253730529981514,16.27916527302511,-0.06506198804973051,-0.06873981698366544,-0.06142441183749704,-1.025434743043597,-1.0923926860803321,-0.961536094893152,0.0,ok
plot4,500m,america,europe,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/america_without_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,2.801750806704066,2.74222639569224,16.47346338771164,15.521503664981896,0.05952441101182604,0.054704098516555125,0.0646154784470671,0.9519597227297432,0.8712999670854632,1.0394414869627246,0.0,ok
plot4,500m,america,europe,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,/path/to/metacul/models/america_without_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,2.8044622376257498,2.864061822848458,16.51819065577477,17.532596804555148,-0.05959958522270803,-0.06360792357015001,-0.055637105541033724,-1.0144061487803775,-1.0851358977095933,-0.9444406658808623,0.0,ok
plot4,500m,asia,africa,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/asia_without_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,2.8457831701895113,2.7398780866011583,17.215035693601205,15.485097140434927,0.10590508358835304,0.10051020457445123,0.11154917748812217,1.7299385531662779,1.6294465913455636,1.834816125833979,0.0,ok
plot4,500m,asia,africa,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,/path/to/metacul/models/asia_without_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,2.8618797434974197,2.8725276720953663,17.494380997223498,17.6816551886561,-0.01064792859794661,-0.014193288625344901,-0.00706446882261263,-0.1872741914326035,-0.24869328321866835,-0.12383593439852264,0.0,ok
plot4,500m,asia,america,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/asia_without_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,2.851857456628959,2.78257916867358,17.319922986698902,16.16064828078599,0.06927828795537883,0.06474468877202544,0.07374199992457803,1.1592747059129138,1.0786311793394598,1.2392410985227444,0.0,ok
plot4,500m,asia,america,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,/path/to/metacul/models/asia_without_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,2.8618471977949054,2.873169669875976,17.493811639569014,17.6930104166703,-0.011322472081070512,-0.014513447139902234,-0.007945771831774839,-0.1991987771012873,-0.25590844935154106,-0.13964404122432292,0.0,ok
plot4,500m,asia,asia,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_without_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,2.230004227679069,2.140513389287495,9.299905396415864,8.503802269398502,0.08949083839157401,0.08570131779860618,0.09322087936693213,0.7961031270173624,0.7558191653969047,0.8394695475211745,0.0,ok
plot4,500m,asia,asia,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,/path/to/metacul/models/asia_without_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,2.2390938192524237,2.271332491205984,9.384823087040415,9.692307127401662,-0.03223867195356034,-0.03504327793554692,-0.029285142775798478,-0.3074840403612473,-0.33417869126693456,-0.27870462595581935,0.0,ok
plot4,500m,asia,europe,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/asia_without_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,2.974892599757058,2.902030525482429,19.58751943227711,18.211085926415954,0.07286207427462887,0.06711446907435933,0.07873249795041751,1.3764335058611543,1.2614899802887818,1.4929957643396876,0.0,ok
plot4,500m,asia,europe,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,/path/to/metacul/models/asia_without_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,2.986928253237963,2.994729194730551,19.824692431726398,19.97994848183909,-0.007800941492588365,-0.013089585731971472,-0.0028007189289097306,-0.15525605011269406,-0.2624642450860225,-0.055378335263956045,0.006,ok
plot4,500m,europe,africa,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/europe_without_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,2.940773870909388,2.822554327814998,18.93049040102886,16.819759026130885,0.11821954309438976,0.11190348716919893,0.12441074146801138,2.1107313748979735,1.9915448970370877,2.2327074659139052,0.0,ok
plot4,500m,europe,africa,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,/path/to/metacul/models/europe_without_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,2.9380831229214146,2.953653131641108,18.879621690202914,19.175877935733556,-0.015570008719693273,-0.019464628145175265,-0.011648179530343429,-0.29625624553064256,-0.37106816031841444,-0.2217233972048363,0.0,ok
plot4,500m,europe,america,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/europe_without_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,2.855330390648776,2.7735273427299747,17.380178507621096,16.015024978116163,0.08180304791880122,0.07717284498585072,0.08651519719085032,1.3651535295049335,1.2837076591269818,1.4510027908887146,0.0,ok
plot4,500m,europe,america,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,/path/to/metacul/models/europe_without_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,2.850109648360363,2.8663683892870404,17.28967752142802,17.573083578692977,-0.01625874092667745,-0.019891075816172943,-0.012617035140290002,-0.2834060572649584,-0.3479690803232998,-0.21848511064550885,0.0,ok
plot4,500m,europe,asia,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/europe_without_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,2.9197819541845007,2.805072059538465,18.537245050333546,16.52826688243471,0.11470989464603587,0.10912058405325328,0.12061670900324925,2.008978167898835,1.8971800410000461,2.12887770025749,0.0,ok
plot4,500m,europe,asia,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,/path/to/metacul/models/europe_without_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,2.9116888989416774,2.9251603536028608,18.387827539714383,18.637214354768947,-0.01347145466118338,-0.017591137528771793,-0.009484945201529172,-0.24938681505456373,-0.3277150403168312,-0.17546977142530942,0.0,ok
plot4,500m,europe,europe,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_without_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,2.3700988718110536,2.2641425093003558,10.698450006948358,9.622869541162105,0.10595636251069784,0.1015704030340069,0.11062344529415007,1.0755804657862527,1.0194404095420453,1.1325359227936194,0.0,ok
plot4,500m,europe,europe,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,/path/to/metacul/models/europe_without_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,2.3505489628145257,2.3769995185964636,10.491327492851267,10.772531542880706,-0.02645055578193789,-0.029162909006070457,-0.02380345726655739,-0.28120405002943905,-0.31216683855382804,-0.2523826743057124,0.0,ok
plot4,1b,africa,africa,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_without_metadata_1b,/path/to/metacul/models/africa_with_metadata_1b,1000,2.4321591522884005,2.2042889392102962,11.383434132509997,9.063804360063738,0.2278702130781043,0.19206109472259095,0.269936262814939,2.319629772446259,1.9164787190642227,2.8024673291726554,0.0,ok
plot4,1b,africa,africa,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,/path/to/metacul/models/africa_without_metadata_1b,/path/to/metacul/models/africa_with_metadata_1b,1000,2.3507851442657106,2.340813091901323,10.493805642438348,10.389680894650441,0.009972052364387807,0.004126907262317472,0.016131432431556614,0.10412474778790681,0.04262813908029872,0.16919872788966475,0.0,ok
plot4,1b,africa,america,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/africa_without_metadata_1b,/path/to/metacul/models/africa_with_metadata_1b,1000,3.302777398621886,3.0983453028472145,27.18804619618944,22.161250767150715,0.20443209577467147,0.18030347719702816,0.23177656937197874,5.0267954290387244,4.3538741664232905,5.8375696701899065,0.0,ok
plot4,1b,africa,america,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,/path/to/metacul/models/africa_without_metadata_1b,/path/to/metacul/models/africa_with_metadata_1b,1000,3.267059528960789,3.2065712896522336,26.2340852493011,24.69427140106341,0.060488239308555514,0.05324023542363695,0.06742137112551898,1.5398138482376886,1.3391747566637988,1.7320482230382668,0.0,ok
plot4,1b,africa,asia,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/africa_without_metadata_1b,/path/to/metacul/models/africa_with_metadata_1b,1000,3.2290463779307426,3.0050542637107274,25.255561223116633,20.18731150469853,0.2239921142200152,0.2029599840512141,0.24818086167483322,5.068249718418102,4.511967248853785,5.727221482974551,0.0,ok
plot4,1b,africa,asia,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,/path/to/metacul/models/africa_without_metadata_1b,/path/to/metacul/models/africa_with_metadata_1b,1000,3.210005098448363,3.1513083401839737,24.77921255980135,23.366616073484398,0.05869675826438936,0.050964315882287704,0.0669594301074011,1.4125964863169536,1.2170436873928947,1.63312900377397,0.0,ok
plot4,1b,africa,europe,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/africa_without_metadata_1b,/path/to/metacul/models/africa_with_metadata_1b,1000,3.3053568531521638,3.114507948190036,27.258267051936805,22.52234546569771,0.1908489049621278,0.17081735041379867,0.21310297385776206,4.735921586239094,4.188103753107147,5.366186997038848,0.0,ok
plot4,1b,africa,europe,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,/path/to/metacul/models/africa_without_metadata_1b,/path/to/metacul/models/africa_with_metadata_1b,1000,3.281374841033044,3.2384872472975097,26.612335290782546,25.49512474199618,0.04288759373553441,0.03518650793993403,0.0507649006658504,1.1172105487863675,0.9124720968451867,1.3304584435045828,0.0,ok
plot4,1b,america,africa,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/america_without_metadata_1b,/path/to/metacul/models/america_with_metadata_1b,1000,2.7110885828044964,2.598746965010504,15.04564503393691,13.44687806542631,0.11234161779399221,0.10677889430126783,0.11777446692494516,1.598766968510601,1.509192265197989,1.6894512260127623,0.0,ok
plot4,1b,america,africa,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,/path/to/metacul/models/america_without_metadata_1b,/path/to/metacul/models/america_with_metadata_1b,1000,2.711244279067197,2.7481596097768177,15.047987767011277,15.613869812239859,-0.03691533070962061,-0.04074520548842373,-0.03321589566043678,-0.565882045228582,-0.626858361597395,-0.5070234874382384,0.0,ok
plot4,1b,america,america,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_without_metadata_1b,/path/to/metacul/models/america_with_metadata_1b,1000,2.1969386849459807,2.1203573486362646,8.997427336257868,8.334115140305814,0.07658133630971609,0.0731237966236657,0.07997751455801247,0.663312195952054,0.6287559148878384,0.6970971751440047,0.0,ok
plot4,1b,america,america,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,/path/to/metacul/models/america_without_metadata_1b,/path/to/metacul/models/america_with_metadata_1b,1000,2.1952156604106077,2.233038474154367,8.981937896376841,9.328166455412394,-0.03782281374375929,-0.04016232541451405,-0.03550337798697785,-0.34622855903555205,-0.37099036032997096,-0.32170035349299403,0.0,ok
plot4,1b,america,asia,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/america_without_metadata_1b,/path/to/metacul/models/america_with_metadata_1b,1000,2.5713403851457395,2.4721107502312494,13.083349420419289,11.847427438687747,0.0992296349144901,0.09422181495927696,0.10427736681926818,1.2359219817315417,1.164530559642235,1.3065152966517166,0.0,ok
plot4,1b,america,asia,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,/path/to/metacul/models/america_without_metadata_1b,/path/to/metacul/models/america_with_metadata_1b,1000,2.5699358200238236,2.6011206503784234,13.064985903542157,13.478834635551237,-0.031184830354599846,-0.03453988040942331,-0.028079943787694607,-0.4138487320090807,-0.4594304347606546,-0.3714230741669674,0.0,ok
plot4,1b,america,europe,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/america_without_metadata_1b,/path/to/metacul/models/america_with_metadata_1b,1000,2.66342339579946,2.5715935078261634,14.345314824076775,13.086661532061111,0.09182988797329683,0.08665860521887836,0.09724848991429805,1.258653292015664,1.1778170960206076,1.3405485303194513,0.0,ok
plot4,1b,america,europe,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,/path/to/metacul/models/america_without_metadata_1b,/path/to/metacul/models/america_with_metadata_1b,1000,2.661196498599905,2.6858751392548013,14.313404825997972,14.671034962462064,-0.024678640654896444,-0.02848287009977326,-0.02102544423472602,-0.3576301364640919,-0.41321730922317873,-0.30398714381345376,0.0,ok
plot4,1b,asia,africa,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/asia_without_metadata_1b,/path/to/metacul/models/asia_with_metadata_1b,1000,2.731088401468822,2.6205932539189867,15.349584441761841,13.74387477454837,0.11049514754983525,0.10485998407146674,0.11642431216947524,1.6057096672134712,1.5126694576112836,1.7003397374103697,0.0,ok
plot4,1b,asia,africa,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,/path/to/metacul/models/asia_without_metadata_1b,/path/to/metacul/models/asia_with_metadata_1b,1000,2.746769897107238,2.751232249778787,15.592186090102125,15.661919394941961,-0.004462352671549041,-0.008515563672603265,-0.000606254041478605,-0.06973330483983631,-0.13270591015382804,-0.009557200403228662,0.021,ok
plot4,1b,asia,america,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/asia_without_metadata_1b,/path/to/metacul/models/asia_with_metadata_1b,1000,2.748608282578942,2.6694664646313506,15.620876902788448,14.432267013391588,0.07914181794759134,0.07373138929975874,0.0843405126105227,1.1886098893968597,1.1014497517783817,1.278520274912031,0.0,ok
plot4,1b,asia,america,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,/path/to/metacul/models/asia_without_metadata_1b,/path/to/metacul/models/asia_with_metadata_1b,1000,2.756699684045605,2.7578149569738013,15.747784426538363,15.765357301642815,-0.0011152729281964646,-0.005165524388601972,0.003077584280826517,-0.01757287510445238,-0.08059323277715515,0.04841389648114362,0.575,ok
plot4,1b,asia,asia,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_without_metadata_1b,/path/to/metacul/models/asia_with_metadata_1b,1000,2.1088590095673143,2.0195021744682427,8.238835487217266,7.534573097000788,0.08935683509907166,0.08544176609414114,0.09333061541732077,0.7042623902164777,0.6665098646669053,0.7442319762112524,0.0,ok
plot4,1b,asia,asia,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,/path/to/metacul/models/asia_without_metadata_1b,/path/to/metacul/models/asia_with_metadata_1b,1000,2.1156323695582935,2.1394165559947296,8.294829505624456,8.494480129305716,-0.023784186436436094,-0.026518711720362097,-0.02088700994327497,-0.19965062368125963,-0.22314047752899915,-0.17555561773034783,0.0,ok
plot4,1b,asia,europe,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/asia_without_metadata_1b,/path/to/metacul/models/asia_with_metadata_1b,1000,2.8811464444635195,2.7958828300774017,17.834707965906215,16.37708055226869,0.08526361438611785,0.07910540772759192,0.09144098943938625,1.4576274136375247,1.3443475347517924,1.5718373600652207,0.0,ok
plot4,1b,asia,europe,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,/path/to/metacul/models/asia_without_metadata_1b,/path/to/metacul/models/asia_with_metadata_1b,1000,2.889477552975509,2.8891826293356475,17.98391150570561,17.97860840710841,0.00029492363986127756,-0.004138101057908805,0.005174498958798533,0.005303098597199352,-0.07524502713892377,0.09294090936188774,0.873,ok
plot4,1b,europe,africa,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/europe_without_metadata_1b,/path/to/metacul/models/europe_with_metadata_1b,1000,2.82665160285284,2.722221661303905,16.88881558017055,15.214085270582858,0.10442994154893492,0.09845135594466295,0.11083677668404762,1.6747303095876926,1.5576583383403717,1.7990281679754305,0.0,ok
plot4,1b,europe,africa,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,/path/to/metacul/models/europe_without_metadata_1b,/path/to/metacul/models/europe_with_metadata_1b,1000,2.850685474599089,2.8736624177169316,17.299636238374056,17.701730757641272,-0.02297694311784282,-0.027863300816739753,-0.01807598590234565,-0.40209451926721584,-0.4874675752994896,-0.31707925566752176,0.0,ok
plot4,1b,europe,america,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/europe_without_metadata_1b,/path/to/metacul/models/europe_with_metadata_1b,1000,2.757527147769302,2.685643805536753,15.760820539591439,14.667641449928652,0.07188334223254911,0.06651832135635331,0.07701141188333432,1.0931790896627867,1.0096668098023662,1.1739607056090595,0.0,ok
plot4,1b,europe,america,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,/path/to/metacul/models/europe_without_metadata_1b,/path/to/metacul/models/europe_with_metadata_1b,1000,2.770842670403504,2.7876625369604806,15.97208754600672,16.243007962697746,-0.01681986655697676,-0.020857479312279038,-0.013001526462959946,-0.27092041669102507,-0.3357777416742953,-0.20917606202264605,0.0,ok
plot4,1b,europe,asia,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/europe_without_metadata_1b,/path/to/metacul/models/europe_with_metadata_1b,1000,2.8134122044666943,2.713337629247905,16.666691461796077,15.079521468947606,0.10007457521878926,0.0942333017911622,0.10590920259216022,1.5871699928484713,1.4881386386064492,1.692963967333711,0.0,ok
plot4,1b,europe,asia,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,/path/to/metacul/models/europe_without_metadata_1b,/path/to/metacul/models/europe_with_metadata_1b,1000,2.828115585060929,2.8462262061416976,16.913558612956304,17.222664263072133,-0.018110621080768663,-0.022889786703767533,-0.013391652748763604,-0.30910565011582847,-0.3913274700186412,-0.2272798686694234,0.0,ok
plot4,1b,europe,europe,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_without_metadata_1b,/path/to/metacul/models/europe_with_metadata_1b,1000,2.2329130198229996,2.1453402613707406,9.326996269930799,8.54494825849988,0.08757275845225898,0.08331424895154957,0.0921287606218537,0.7820480114309181,0.7352772803770896,0.8309522071050758,0.0,ok
plot4,1b,europe,europe,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,/path/to/metacul/models/europe_without_metadata_1b,/path/to/metacul/models/europe_with_metadata_1b,1000,2.2321826004802396,2.265203466688918,9.320186138873892,9.633084413514936,-0.03302086620867817,-0.03653926612211476,-0.029529549074532684,-0.3128982746410447,-0.3470206212618428,-0.27948341609400157,0.0,ok
