plot,meta,step,continent,test_scope,test_path,model_a,model_b,n_samples,mean_nll_a,mean_nll_b,mean_ppl_a,mean_ppl_b,delta_nll,delta_nll_ci_low,delta_nll_ci_high,delta_ppl,delta_ppl_ci_low,delta_ppl_ci_high,p_value,status
plot7,with_metadata,8000,europe,left_out,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_europe_with_metadata_1b_step8k,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step8k,1000,2.609730865661048,2.2112479086017176,13.595391372737373,9.127099074734032,0.39848295705933,0.373072009427534,0.4263890857107228,4.4682922980033375,4.182097708120812,4.753807235256766,0.0,ok
plot7,with_metadata,8000,europe,all,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_europe_with_metadata_1b_step8k,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step8k,1000,2.33548403837132,2.230324294621662,10.334460994586449,9.302882465107722,0.1051597437496578,0.0895332858100372,0.1218798025483108,1.0315785294787272,0.8722864904537108,1.2020728473365423,0.0,ok
plot7,with_metadata,10000,africa,left_out,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/ablations/leave_one_out/combined_no_africa_with_metadata_1b,/path/to/metacul/models/combined_with_metadata_1b,1000,2.493290210454092,2.068657509812976,12.101025613465682,7.9141912587599235,0.4246327006411157,0.4011751731866413,0.4494839593377304,4.186834354705758,3.9437262416309062,4.425797606060124,0.0,ok
plot7,with_metadata,10000,africa,all,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,/path/to/metacul/models/ablations/leave_one_out/combined_no_africa_with_metadata_1b,/path/to/metacul/models/combined_with_metadata_1b,1000,2.253071337602664,2.2138557379120765,9.51692067149568,9.150932053883572,0.0392155996905874,0.0200941124042562,0.0577808820230283,0.365988617612107,0.1868088310060703,0.5429594422201748,0.0,ok
plot7,with_metadata,10000,america,left_out,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/ablations/leave_one_out/combined_no_america_with_metadata_1b,/path/to/metacul/models/combined_with_metadata_1b,1000,2.534395526538996,2.2738734142490453,12.608806854899573,9.716965848611585,0.2605221122899506,0.2440109572519514,0.2778529551050527,2.8918410062879865,2.7097826184308693,3.0843244138425554,0.0,ok
plot7,with_metadata,10000,america,all,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,/path/to/metacul/models/ablations/leave_one_out/combined_no_america_with_metadata_1b,/path/to/metacul/models/combined_with_metadata_1b,1000,2.288795261152276,2.2138557379120765,9.863048123473876,9.150932053883572,0.0749395232401992,0.0644912245458099,0.086011585653973,0.712116069590305,0.6074870009676047,0.8261027371567353,0.0,ok
plot7,with_metadata,10000,asia,left_out,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/ablations/leave_one_out/combined_no_asia_with_metadata_1b,/path/to/metacul/models/combined_with_metadata_1b,1000,2.4821442463489984,2.1691928153988456,11.966896901838536,8.751217341179835,0.3129514309501529,0.290980130733991,0.3347766322522053,3.2156795606587014,3.0006297513641624,3.425614261988345,0.0,ok
plot7,with_metadata,10000,asia,all,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,/path/to/metacul/models/ablations/leave_one_out/combined_no_asia_with_metadata_1b,/path/to/metacul/models/combined_with_metadata_1b,1000,2.2838051351268405,2.2138557379120765,9.813952867977068,9.150932053883572,0.069949397214764,0.0568716301231775,0.0844563055269613,0.6630208140934943,0.5366596173856342,0.7992950663054713,0.0,ok
plot7,with_metadata,10000,europe,left_out,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/ablations/leave_one_out/combined_no_europe_with_metadata_1b,/path/to/metacul/models/combined_with_metadata_1b,1000,2.607981942393885,2.1941413058392385,13.571634856656669,8.972293292128127,0.4138406365546463,0.385911163029192,0.4417007405173555,4.599341564528542,4.3029393212557965,4.90284773388465,0.0,ok
plot7,with_metadata,10000,europe,all,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,/path/to/metacul/models/ablations/leave_one_out/combined_no_europe_with_metadata_1b,/path/to/metacul/models/combined_with_metadata_1b,1000,2.3243335276164023,2.2138557379120765,10.219866556704622,9.150932053883572,0.1104777897043258,0.0947140967301587,0.1275411986066379,1.0689345028210493,0.907710114180732,1.2447445274047506,0.0,ok
plot7,without_metadata,2000,africa,left_out,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_africa_without_metadata_1b_step2k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step2k,1000,2.881042562338225,2.441651146683703,17.83285535476697,11.492000063972055,0.439391415654522,0.4138777641450383,0.4652751960375687,6.340855290794913,5.97068129840927,6.711627924046174,0.0,ok
plot7,without_metadata,2000,africa,all,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_africa_without_metadata_1b_step2k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step2k,1000,2.618462963485421,2.572159259448507,13.714627493258474,13.094067426804886,0.0463037040369136,0.0265766553610629,0.0651200587193521,0.6205600664535886,0.3577213533484472,0.8789057450165294,0.0,ok
plot7,without_metadata,2000,america,left_out,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_america_without_metadata_1b_step2k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step2k,1000,2.843603273311969,2.629922942410936,17.177549563838905,13.872700864059295,0.2136803309010329,0.1979527764909382,0.2301708696028217,3.3048486997796083,3.0596534355824785,3.5485091820880754,0.0,ok
plot7,without_metadata,2000,america,all,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_america_without_metadata_1b_step2k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step2k,1000,2.608920429808637,2.572159259448507,13.58437764370462,13.094067426804886,0.0367611703601302,0.0260778854296891,0.047288388973246,0.4903102168997346,0.3464476412692905,0.6331075571492663,0.0,ok
plot7,without_metadata,2000,asia,left_out,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_asia_without_metadata_1b_step2k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step2k,1000,2.8281561680831304,2.527263186316692,16.91424503020935,12.51919650025646,0.3008929817664385,0.2781527558215113,0.3238926478946638,4.39504852995289,4.092257178338493,4.710705746188356,0.0,ok
plot7,without_metadata,2000,asia,all,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_asia_without_metadata_1b_step2k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step2k,1000,2.619441402116844,2.572159259448507,13.728052981550588,13.094067426804886,0.0472821426683367,0.03388737317988,0.0603320429025394,0.633985554745701,0.4568707727271504,0.8098067495398313,0.0,ok
plot7,without_metadata,2000,europe,left_out,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_europe_without_metadata_1b_step2k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step2k,1000,2.923650168271493,2.544817788225429,18.609089948910597,12.74090633139414,0.378832380046064,0.3545003410316006,0.4033516148808787,5.868183617516452,5.503054890464613,6.233510341727454,0.0,ok
plot7,without_metadata,2000,europe,all,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_europe_without_metadata_1b_step2k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step2k,1000,2.6581956520888044,2.572159259448507,14.270516877323594,13.094067426804886,0.0860363926402971,0.0709834539306934,0.102994193783474,1.1764494505187084,0.962379310610822,1.4098866921607132,0.0,ok
plot7,without_metadata,4000,africa,left_out,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_africa_without_metadata_1b_step4k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step4k,1000,2.733345274526269,2.2946377003273493,15.384265626126114,9.92084104363416,0.4387075741989199,0.4135946929290555,0.4637888194828548,5.463424582491953,5.137731127631991,5.791954764975906,0.0,ok
