variant,label,country,country_code,continent,category,RC1,RC2,target_distance,target_rank,nearest_country,nearest_distance,top1_hit,top3_hit
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Ghana,gh,Africa,African-Islamic,-2.640746245396946,5.849256447139196,7.468418732581349,11,Hong Kong SAR,5.7209862376650245,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Great Britain,gb,Europe,English-Speaking,-2.16054949756584,5.646747441185022,7.39541676091692,13,Hong Kong SAR,5.271912874586511,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Hong Kong SAR,hk,Asia,Confucian,-2.640746245396946,5.849256447139196,5.7209862376650245,1,Hong Kong SAR,5.7209862376650245,1,1
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",India,in,Asia,West & South Asia,-2.640746245396946,5.849256447139196,6.541549528911664,4,Hong Kong SAR,5.7209862376650245,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Ireland,ie,Europe,English-Speaking,-2.520697058439169,5.798629195650652,7.795362102666652,15,Hong Kong SAR,5.607548859379175,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Kenya,ke,Africa,African-Islamic,-2.400647871481393,5.748001944162108,6.749583483313423,8,Hong Kong SAR,5.494858937303284,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Malaysia,my,Asia,West & South Asia,-2.040500310608064,5.596120189696478,6.033574447260863,3,Hong Kong SAR,5.161761854547645,0,1
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Nigeria,ng,Africa,African-Islamic,-2.280598684523617,5.697374692673565,6.6576662391250325,7,Hong Kong SAR,5.382963414622459,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Pakistan,pk,Asia,African-Islamic,-2.640746245396946,5.849256447139196,6.87114839960815,6,Hong Kong SAR,5.7209862376650245,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Philippines,ph,Asia,Latin America,-2.520697058439169,5.798629195650652,7.336997367828578,10,Hong Kong SAR,5.607548859379175,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Singapore,sg,Asia,West & South Asia,-2.640746245396946,5.849256447139196,6.262855021979356,2,Hong Kong SAR,5.7209862376650245,0,1
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",South Africa,za,Africa,African-Islamic,-2.640746245396946,5.849256447139196,6.704527017498899,5,Hong Kong SAR,5.7209862376650245,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",United States,us,America,English-Speaking,-2.640746245396946,5.849256447139196,7.520881515795129,12,Hong Kong SAR,5.7209862376650245,0,0
