model_path,test_set_path,mean_ppl,ci_low,ci_high
/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,9.063804360063738,9.063804360063738,9.063804360063738
/path/to/metacul/models/africa_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,10.493805642438348,10.493805642438348,10.493805642438348
/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,10.38968089465044,10.38968089465044,10.38968089465044
/path/to/metacul/models/africa_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,27.18804619618944,27.18804619618944,27.18804619618944
/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,22.161250767150715,22.161250767150715,22.161250767150715
/path/to/metacul/models/africa_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,26.2340852493011,26.2340852493011,26.2340852493011
/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,24.69427140106341,24.69427140106341,24.69427140106341
/path/to/metacul/models/africa_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,25.255561223116636,25.255561223116636,25.255561223116636
/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,20.18731150469853,20.18731150469853,20.18731150469853
/path/to/metacul/models/africa_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,24.77921255980135,24.77921255980135,24.77921255980135
/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,23.3666160734844,23.3666160734844,23.3666160734844
/path/to/metacul/models/africa_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,27.258267051936805,27.258267051936805,27.258267051936805
/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,22.52234546569771,22.52234546569771,22.52234546569771
/path/to/metacul/models/africa_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,26.612335290782543,26.612335290782543,26.612335290782543
/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,25.49512474199618,25.49512474199618,25.49512474199618
/path/to/metacul/models/america_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,15.04564503393691,15.04564503393691,15.04564503393691
/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,13.44687806542631,13.44687806542631,13.44687806542631
/path/to/metacul/models/america_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,15.047987767011277,15.047987767011277,15.047987767011277
/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,15.61386981223986,15.61386981223986,15.61386981223986
/path/to/metacul/models/america_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,8.997427336257868,8.997427336257868,8.997427336257868
/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,8.334115140305814,8.334115140305814,8.334115140305814
/path/to/metacul/models/america_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,8.981937896376841,8.981937896376841,8.981937896376841
/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,9.328166455412394,9.328166455412394,9.328166455412394
/path/to/metacul/models/america_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,13.083349420419289,13.083349420419289,13.083349420419289
/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,11.847427438687747,11.847427438687747,11.847427438687747
/path/to/metacul/models/america_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,13.064985903542157,13.064985903542157,13.064985903542157
/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,13.478834635551236,13.478834635551236,13.478834635551236
/path/to/metacul/models/america_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,14.345314824076777,14.345314824076777,14.345314824076777
/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,13.086661532061113,13.086661532061113,13.086661532061113
/path/to/metacul/models/america_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,14.313404825997972,14.313404825997972,14.313404825997972
/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,14.671034962462064,14.671034962462064,14.671034962462064
/path/to/metacul/models/asia_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,15.34958444176184,15.34958444176184,15.34958444176184
/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,13.74387477454837,13.74387477454837,13.74387477454837
/path/to/metacul/models/asia_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,15.592186090102125,15.592186090102125,15.592186090102125
/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,15.66191939494196,15.66191939494196,15.66191939494196
/path/to/metacul/models/asia_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,15.620876902788448,15.620876902788448,15.620876902788448
/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,14.432267013391588,14.432267013391588,14.432267013391588
/path/to/metacul/models/asia_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,15.747784426538365,15.747784426538365,15.747784426538365
/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,15.765357301642815,15.765357301642815,15.765357301642815
/path/to/metacul/models/asia_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,8.238835487217266,8.238835487217266,8.238835487217266
/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,7.534573097000788,7.534573097000788,7.534573097000788
/path/to/metacul/models/asia_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,8.294829505624456,8.294829505624456,8.294829505624456
/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,8.494480129305716,8.494480129305716,8.494480129305716
/path/to/metacul/models/asia_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,17.834707965906215,17.834707965906215,17.834707965906215
/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,16.37708055226869,16.37708055226869,16.37708055226869
/path/to/metacul/models/asia_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,17.98391150570561,17.98391150570561,17.98391150570561
/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,17.97860840710841,17.97860840710841,17.97860840710841
/path/to/metacul/models/europe_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,16.88881558017055,16.88881558017055,16.88881558017055
/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,15.214085270582858,15.214085270582858,15.214085270582858
/path/to/metacul/models/europe_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,17.299636238374056,17.299636238374056,17.299636238374056
/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,17.701730757641272,17.701730757641272,17.701730757641272
/path/to/metacul/models/europe_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,15.76082053959144,15.76082053959144,15.76082053959144
/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,14.667641449928652,14.667641449928652,14.667641449928652
/path/to/metacul/models/europe_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,15.97208754600672,15.97208754600672,15.97208754600672
/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,16.243007962697746,16.243007962697746,16.243007962697746
/path/to/metacul/models/europe_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,16.666691461796077,16.666691461796077,16.666691461796077
/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,15.079521468947606,15.079521468947606,15.079521468947606
/path/to/metacul/models/europe_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,16.913558612956304,16.913558612956304,16.913558612956304
/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,17.222664263072133,17.222664263072133,17.222664263072133
/path/to/metacul/models/europe_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,9.3269962699308,9.3269962699308,9.3269962699308
/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,8.54494825849988,8.54494825849988,8.54494825849988
/path/to/metacul/models/europe_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,9.320186138873892,9.320186138873892,9.320186138873892
/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,9.633084413514936,9.633084413514936,9.633084413514936
