row_key,track,label,short_label,group,side,condition,condition_marker,external_geomlama,external_geomlama_metric_type,external_globalopinionqa,external_globalopinionqa_metric_type,external_globalmmlu_cs,external_globalmmlu_cs_metric_type,external_normad,external_normad_metric_type,external_blend,external_blend_metric_type,external_worldvaluebench,external_worldvaluebench_metric_type,localnewsqa_overall,localnewsqa_ambiguous,localnewsqa_explicit,localnewsqa_exact_pair,localnewsqa_margin_switch,external_blend_score,external_geomlama_score,external_globalmmlu_cs_score,external_globalopinionqa_score,external_normad_score,external_worldvaluebench_score,external_downstream_index,external_metric_count,plot_label,pareto_localnewsqa_overall,pareto_localnewsqa_ambiguous
llama32_1b,chat,LLaMA-3.2-1B Inst.,LLaMA 1B-I,LLaMA family,minus,Without metadata,-,26.0,accuracy_pp_gain,16.57160317783663,accuracy_pp_gain,29.29292929292929,accuracy_pp_gain,30.95328522597797,accuracy_pp_gain,17.8117048346056,accuracy_pp_gain,0.4339849108367627,wvb_emd_gain,37.62892345431232,40.29496008288135,35.38145389160031,0.6216100920226705,1.291973916753001,16.379310344827594,13.95348837209302,17.857142857142854,7.687723480333751,1.2101210121012147,11.870122362462627,11.492984738160176,6,LLaMA 1B-I -,False,False
llama32_1b,chat,LLaMA-3.2-1B Inst.,LLaMA 1B-I,LLaMA family,plus,With metadata,+,31.333333333333336,accuracy_pp_gain,16.32715420655938,accuracy_pp_gain,28.28282828282828,accuracy_pp_gain,30.95328522597797,accuracy_pp_gain,16.539440203562343,accuracy_pp_gain,0.403139765279683,wvb_emd_gain,36.893014439426885,41.97086964470717,32.61238119702029,3.083673593759522,6.862087878603205,12.06896551724139,32.55813953488372,13.095238095238093,6.257449344457699,1.2101210121012147,27.468927642354735,15.44314019104614,6,LLaMA 1B-I +,False,False
llama32_3b,base,LLaMA-3.2-3B Base,LLaMA 3B-B,LLaMA family,minus,Without metadata,-,31.333333333333336,accuracy_pp_gain,17.529028315339172,accuracy_pp_gain,30.80808080808081,accuracy_pp_gain,30.6114698063046,accuracy_pp_gain,15.267175572519085,accuracy_pp_gain,0.4318510897729005,wvb_emd_gain,40.87082566761443,41.84289109634957,40.05137426149499,0.0,0.0,7.75862068965518,32.55813953488372,25.00000000000001,13.289630512514899,0.22002200220024234,12.949224395413786,15.295939522444641,6,LLaMA 3B-B -,False,False
llama32_3b,base,LLaMA-3.2-3B Base,LLaMA 3B-B,LLaMA family,plus,With metadata,+,26.0,accuracy_pp_gain,17.926257893664697,accuracy_pp_gain,31.565656565656564,accuracy_pp_gain,32.510444360045575,accuracy_pp_gain,16.793893129770993,accuracy_pp_gain,0.457456942539247,wvb_emd_gain,41.97747672408987,46.84624291547322,37.87310557410738,5.862636358096167,12.078737278322873,12.931034482758625,13.95348837209302,28.571428571428566,15.613825983313475,5.720572057205725,0.0,12.798391577799903,6,LLaMA 3B-B +,False,False
llama32_3b,chat,LLaMA-3.2-3B Inst.,LLaMA 3B-I,LLaMA family,minus,Without metadata,-,35.333333333333336,accuracy_pp_gain,16.215115094723977,accuracy_pp_gain,37.62626262626262,accuracy_pp_gain,46.82871249525256,accuracy_pp_gain,29.262086513994912,accuracy_pp_gain,0.2689948178631306,wvb_emd_gain,45.651446730222446,44.51215796209397,46.61186745440534,0.1889207142421841,0.1828264976537266,55.172413793103445,46.51162790697674,57.14285714285712,5.601907032181181,47.19471947194718,95.30783312457848,51.15522641194068,6,LLaMA 3B-I -,False,False
llama32_3b,chat,LLaMA-3.2-3B Inst.,LLaMA 3B-I,LLaMA family,plus,With metadata,+,30.666666666666664,accuracy_pp_gain,15.257689957221428,accuracy_pp_gain,34.72222222222222,accuracy_pp_gain,46.296999620205085,accuracy_pp_gain,20.10178117048346,accuracy_pp_gain,0.3644642584971803,wvb_emd_gain,41.01577744327368,44.4938753123286,38.083740046236834,4.137973063562679,8.830519836674995,24.137931034482754,30.23255813953487,43.45238095238094,0.0,45.65456545654564,47.027651989594375,31.75084792875643,6,LLaMA 3B-I +,False,False
maple_1b,base,MAPLE 1B Base,MAPLE 1B-B,MAPLE family,minus,T-/I-,-,26.0,accuracy_pp_gain,25.03564880831127,accuracy_pp_gain,28.156565656565657,accuracy_pp_gain,33.23205469046715,accuracy_pp_gain,20.35623409669211,accuracy_pp_gain,0.2867703094040543,wvb_emd_gain,32.23504487929977,34.59077335608507,30.24916516825071,0.0,0.0,24.999999999999993,13.95348837209302,12.500000000000014,57.210965435041736,7.810781078107827,86.31852779651217,33.79896044695912,6,MAPLE 1B-B -,False,False
maple_1b,base,MAPLE 1B Base,MAPLE 1B-B,MAPLE family,plus,T+/I+,+,28.666666666666668,accuracy_pp_gain,26.30882053371359,accuracy_pp_gain,28.28282828282828,accuracy_pp_gain,34.67527535131029,accuracy_pp_gain,29.77099236641221,accuracy_pp_gain,0.2597165066300869,wvb_emd_gain,34.526397948374864,38.96032665000914,30.788594913948117,2.6448899993905783,6.118593454811385,56.896551724137915,23.25581395348837,13.095238095238093,64.66030989272944,11.99119911991199,100.0,44.983185464250965,6,MAPLE 1B-B +,False,False
maple_1b,chat,MAPLE 1B Chat,MAPLE 1B-C,MAPLE family,minus,T-/I-,-,36.0,accuracy_pp_gain,29.629252393562844,accuracy_pp_gain,25.786657153050303,accuracy_pp_gain,33.34599316369161,accuracy_pp_gain,15.521628498727736,accuracy_pp_gain,0.4462543819539704,wvb_emd_gain,33.33612086748063,31.70820890974465,34.708451066015925,0.2376744469498445,0.5484794929611798,8.620689655172422,48.837209302325576,1.3275741977133488,84.08820023837902,8.140814081408154,5.665285672993545,26.113295524665347,6,MAPLE 1B-C -,False,False
maple_1b,chat,MAPLE 1B Chat,MAPLE 1B-C,MAPLE family,plus,T+/I+,+,40.0,accuracy_pp_gain,32.348747199022206,accuracy_pp_gain,26.04352479486265,accuracy_pp_gain,37.14394227117357,accuracy_pp_gain,16.539440203562343,accuracy_pp_gain,0.4321178174058833,wvb_emd_gain,35.6358365389976,36.10213907002255,35.242743385563834,4.034371381558901,9.872630873301237,12.06896551724139,62.790697674418595,2.538521651971547,100.0,19.14191419141916,12.814336641294883,34.8924059460576,6,MAPLE 1B-C +,False,False
maple_3b,base,MAPLE 3B Base,MAPLE 3B-B,MAPLE family,minus,T-/I-,-,37.333333333333336,accuracy_pp_gain,19.22998574047668,accuracy_pp_gain,25.5050505050505,accuracy_pp_gain,32.43448537789594,accuracy_pp_gain,29.00763358778626,accuracy_pp_gain,0.2748056698673983,wvb_emd_gain,31.220382449685008,31.73867999268694,30.78345748779861,0.0,0.0,54.3103448275862,53.48837209302325,0.0,23.24195470798572,5.5005500550055135,92.36920705270256,38.151738122717205,6,MAPLE 3B-B -,False,False
maple_3b,base,MAPLE 3B Base,MAPLE 3B-B,MAPLE family,plus,T+/I+,+,42.66666666666667,accuracy_pp_gain,27.67366062334488,accuracy_pp_gain,29.41919191919192,accuracy_pp_gain,37.48575769084695,accuracy_pp_gain,42.49363867684479,accuracy_pp_gain,0.2699474165523548,wvb_emd_gain,36.20170597089815,39.64897312450484,33.29565887490367,6.362362118349687,15.387896885855325,100.0,72.09302325581396,18.452380952380967,72.6460071513707,20.132013201320163,94.82609114558242,63.02491928441137,6,MAPLE 3B-B +,True,True
maple_3b,chat,MAPLE 3B Chat,MAPLE 3B-C,MAPLE family,minus,T-/I-,-,30.666666666666664,accuracy_pp_gain,24.312487268282744,accuracy_pp_gain,25.850874063503387,accuracy_pp_gain,30.535510824154954,accuracy_pp_gain,26.7175572519084,accuracy_pp_gain,0.2913427831123305,wvb_emd_gain,35.90343981713776,33.12816137485527,38.243000256871305,1.3894813821683225,3.924675482966665,46.55172413793104,30.23255813953487,1.6303110612778857,52.97973778307509,0.0,84.00616629733113,35.90008290319167,6,MAPLE 3B-C -,False,False
maple_3b,chat,MAPLE 3B Chat,MAPLE 3B-C,MAPLE family,plus,T+/I+,+,35.333333333333336,accuracy_pp_gain,27.734772866164185,accuracy_pp_gain,26.528719229397076,accuracy_pp_gain,32.966198252943414,accuracy_pp_gain,32.82442748091603,accuracy_pp_gain,0.2698521566834324,wvb_emd_gain,40.82343758711044,41.97086964470717,39.85615206781403,5.972332256688403,13.13303674812603,67.24137931034481,46.51162790697674,4.825866843348135,73.00357568533967,7.040704070407056,94.87426534348205,48.91623652664975,6,MAPLE 3B-C +,False,False
ministral3_3b,base,Ministral-3-3B Base,Ministral 3B-B,Ministral family,minus,Without metadata,-,34.66666666666667,accuracy_pp_gain,18.649419433693215,accuracy_pp_gain,39.64646464646464,accuracy_pp_gain,51.196353968856826,accuracy_pp_gain,27.989821882951656,accuracy_pp_gain,0.3263793629019966,wvb_emd_gain,38.72442437419858,40.16088731793528,37.513485743642434,0.0,0.0,50.86206896551724,44.18604651162792,66.66666666666664,19.84505363528009,59.845984598459864,66.28769630985646,51.28225278123471,6,Ministral 3B-B -,False,False
ministral3_3b,base,Ministral-3-3B Base,Ministral 3B-B,Ministral family,plus,With metadata,+,31.333333333333336,accuracy_pp_gain,18.313302098187005,accuracy_pp_gain,39.64646464646464,accuracy_pp_gain,49.14546145081656,accuracy_pp_gain,27.480916030534356,accuracy_pp_gain,0.3627876848041457,wvb_emd_gain,40.88755087249819,45.16423913705893,37.282301566914974,5.271497349015784,11.975135596319094,49.13793103448277,32.55813953488372,66.66666666666664,17.878426698450557,53.90539053905391,47.87551787262741,44.6703453910275,6,Ministral 3B-B +,False,False
ministral3_3b,chat,Ministral-3-3B Inst.,Ministral 3B-I,Ministral family,minus,Without metadata,-,34.66666666666667,accuracy_pp_gain,17.712365043797107,accuracy_pp_gain,39.64646464646464,accuracy_pp_gain,44.36004557538929,accuracy_pp_gain,20.610687022900763,accuracy_pp_gain,0.3000304831580552,wvb_emd_gain,38.805262864470095,40.67889572795417,37.225789879270486,0.0,0.0,25.86206896551724,44.18604651162792,66.66666666666664,14.362336114421934,40.04400440044005,79.61267944888716,45.12230035126016,6,Ministral 3B-I -,False,False
ministral3_3b,chat,Ministral-3-3B Inst.,Ministral 3B-I,Ministral family,plus,With metadata,+,22.0,accuracy_pp_gain,17.783662660419637,accuracy_pp_gain,36.994949494949495,accuracy_pp_gain,40.182301557159136,accuracy_pp_gain,19.84732824427481,accuracy_pp_gain,0.31517680231672,wvb_emd_gain,41.85761275575626,46.468401486988846,37.97071667094786,6.563471265768786,14.534706563471268,23.27586206896552,0.0,54.166666666666664,14.779499404052448,27.94279427942795,71.95298198284999,32.01963406699376,6,Ministral 3B-I +,False,False
qwen25_1p5b,base,Qwen2.5-1.5B Base,Qwen2.5 1.5B-B,Qwen2.5 family,minus,Without metadata,-,36.0,accuracy_pp_gain,20.258708494601752,accuracy_pp_gain,30.429292929292927,accuracy_pp_gain,31.257121154576527,accuracy_pp_gain,16.030534351145036,accuracy_pp_gain,0.4385192805974698,wvb_emd_gain,34.97797848023638,37.430678286306296,32.91035191369124,0.0,0.0,10.344827586206893,48.837209302325576,23.214285714285708,29.261025029797384,2.0902090209020914,9.577030542441491,20.55409786599319,6,Qwen2.5 1.5B-B -,False,False
qwen25_1p5b,base,Qwen2.5-1.5B Base,Qwen2.5 1.5B-B,Qwen2.5 family,plus,With metadata,+,25.333333333333336,accuracy_pp_gain,18.160521491138727,accuracy_pp_gain,31.186868686868685,accuracy_pp_gain,36.23243448537789,accuracy_pp_gain,15.267175572519085,accuracy_pp_gain,0.432346441091297,wvb_emd_gain,35.945252829347154,40.12432201840453,32.42229642948883,2.0659394234871105,4.089219330855019,7.75862068965518,11.627906976744192,26.785714285714278,16.98450536352803,16.50165016501648,12.698718566335879,15.392852674499006,6,Qwen2.5 1.5B-B +,False,False
qwen25_1p5b,chat,Qwen2.5-1.5B Inst.,Qwen2.5 1.5B-I,Qwen2.5 family,minus,Without metadata,-,48.66666666666667,accuracy_pp_gain,17.82440415563251,accuracy_pp_gain,36.11111111111111,accuracy_pp_gain,48.61374857576909,accuracy_pp_gain,23.918575063613236,accuracy_pp_gain,0.413256363359244,wvb_emd_gain,44.77616100797235,42.33652264001463,46.83277677883381,0.0,0.0,37.068965517241395,93.02325581395348,49.99999999999997,15.017878426698452,52.36523652365237,22.352827825416703,44.971360684493725,6,Qwen2.5 1.5B-I -,False,False
qwen25_1p5b,chat,Qwen2.5-1.5B Inst.,Qwen2.5 1.5B-I,Qwen2.5 family,plus,With metadata,+,40.0,accuracy_pp_gain,16.999388877571807,accuracy_pp_gain,35.858585858585855,accuracy_pp_gain,45.9172047094569,accuracy_pp_gain,22.391857506361323,accuracy_pp_gain,0.4354328608443835,wvb_emd_gain,46.93371243797736,50.80748369797063,43.66812227074236,9.537448960936072,17.44164787616552,31.89655172413793,62.790697674418595,48.80952380952379,10.190703218116814,44.55445544554457,11.137874554388642,34.89663440435506,6,Qwen2.5 1.5B-I +,False,False
